actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
0.000000000,0,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,358188282610,358.188282610,886,0,251,failed_confirmation_poc,358188282610,358.188282610,286833619088082,participant excluded from distribution; subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=366273796890; expected_reward_weight=886; expected_reward_base_units=358188282610,404275714.00716279069767441860465116279069767441860,709500,906
84.897899941,84897899941,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,0,0.000000000,210,210,251,,84897899941,84.897899941,286833619088082,chain_effective_reward_base_units=84897899941; full_weight_reward_base_units=84897899941; expected_reward_weight=210; expected_reward_base_units=84897899941,404275714.00716279069767441860465116279069767441860,709500,210
2308.414326980,2308414326980,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,813807012297,813.807012297,7723,7723,251,,3122221339277,3122.221339277,286833619088082,chain_effective_reward_base_units=3122221339277; full_weight_reward_base_units=3122221339277; expected_reward_weight=7723; expected_reward_base_units=3122221339277,404275714.00716279069767441860465116279069767441860,709500,7723
3327.593401992,3327593401992,gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,0,0.000000000,8231,8231,251,confirmation_weight_reduction,3327593401992,3327.593401992,286833619088082,chain_effective_reward_base_units=3327593401992; full_weight_reward_base_units=3357914080543; expected_reward_weight=8231; expected_reward_base_units=3327593401992,404275714.00716279069767441860465116279069767441860,709500,8306
334.740291197,334740291197,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,0,0.000000000,828,828,251,,334740291197,334.740291197,286833619088082,chain_effective_reward_base_units=334740291197; full_weight_reward_base_units=334740291197; expected_reward_weight=828; expected_reward_base_units=334740291197,404275714.00716279069767441860465116279069767441860,709500,828
0.000000000,0,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,643202660985,643.202660985,0,0,251,failed_confirmation_poc,643202660985,643.202660985,286833619088082,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=643202660985; expected_reward_weight=1591; expected_reward_base_units=643202660985,404275714.00716279069767441860465116279069767441860,709500,1591
889.002295101,889002295101,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,724462079501,724.462079501,3991,3991,251,,1613464374602,1613.464374602,286833619088082,chain_effective_reward_base_units=1613464374602; full_weight_reward_base_units=1613464374602; expected_reward_weight=3991; expected_reward_base_units=1613464374602,404275714.00716279069767441860465116279069767441860,709500,3991
2829.121446622,2829121446622,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,0,0.000000000,6998,6998,251,,2829121446622,2829.121446622,286833619088082,chain_effective_reward_base_units=2829121446622; full_weight_reward_base_units=2829121446622; expected_reward_weight=6998; expected_reward_base_units=2829121446622,404275714.00716279069767441860465116279069767441860,709500,6998
882.129607963,882129607963,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,0,0.000000000,2182,2182,251,,882129607963,882.129607963,286833619088082,chain_effective_reward_base_units=882129607963; full_weight_reward_base_units=882129607963; expected_reward_weight=2182; expected_reward_base_units=882129607963,404275714.00716279069767441860465116279069767441860,709500,2182
0.000000000,0,gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,0,0.000000000,0,0,251,,0,0.000000000,286833619088082,chain_effective_reward_base_units=0; full_weight_reward_base_units=0; expected_reward_weight=0; expected_reward_base_units=0,404275714.00716279069767441860465116279069767441860,709500,0
2201.281262769,2201281262769,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,0,0.000000000,5445,5445,251,,2201281262769,2201.281262769,286833619088082,chain_effective_reward_base_units=2201281262769; full_weight_reward_base_units=2201281262769; expected_reward_weight=5445; expected_reward_base_units=2201281262769,404275714.00716279069767441860465116279069767441860,709500,5445
6753.067461105,6753067461105,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,0,0.000000000,15898,15898,252,confirmation_weight_reduction,6753067461105,6753.067461105,286697405472310,chain_effective_reward_base_units=6753067461105; full_weight_reward_base_units=6843119687911; expected_reward_weight=15898; expected_reward_base_units=6753067461105,424774654.74310309064509437875959344534328977390583,674940,16110
720.842589099,720842589099,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,0,0.000000000,1697,1697,252,,720842589099,720.842589099,286697405472310,chain_effective_reward_base_units=720842589099; full_weight_reward_base_units=720842589099; expected_reward_weight=1697; expected_reward_base_units=720842589099,424774654.74310309064509437875959344534328977390583,674940,1697
5735.307388341,5735307388341,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0,0.000000000,13502,13502,252,confirmation_weight_reduction,5735307388341,5735.307388341,286697405472310,chain_effective_reward_base_units=5735307388341; full_weight_reward_base_units=5803696107755; expected_reward_weight=13502; expected_reward_base_units=5735307388341,424774654.74310309064509437875959344534328977390583,674940,13663
704.276377564,704276377564,gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,16566211535,16.566211535,1697,1697,252,,720842589099,720.842589099,286697405472310,chain_effective_reward_base_units=720842589099; full_weight_reward_base_units=720842589099; expected_reward_weight=1697; expected_reward_base_units=720842589099,424774654.74310309064509437875959344534328977390583,674940,1697
720.842589099,720842589099,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,0,0.000000000,1697,1697,252,,720842589099,720.842589099,286697405472310,chain_effective_reward_base_units=720842589099; full_weight_reward_base_units=720842589099; expected_reward_weight=1697; expected_reward_base_units=720842589099,424774654.74310309064509437875959344534328977390583,674940,1697
4537.442861965,4537442861965,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,0,0.000000000,10682,10682,252,confirmation_weight_reduction,4537442861965,4537.442861965,286697405472310,chain_effective_reward_base_units=4537442861965; full_weight_reward_base_units=4663600934424; expected_reward_weight=10682; expected_reward_base_units=4537442861965,424774654.74310309064509437875959344534328977390583,674940,10979
2233.889909293,2233889909293,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,274829201619,274.829201619,5906,5906,252,,2508719110912,2508.719110912,286697405472310,chain_effective_reward_base_units=2508719110912; full_weight_reward_base_units=2508719110912; expected_reward_weight=5906; expected_reward_base_units=2508719110912,424774654.74310309064509437875959344534328977390583,674940,5906
7170.196172063,7170196172063,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,2091590399955,2091.590399955,21804,21804,252,confirmation_weight_reduction,9261786572018,9261.786572018,286697405472310,chain_effective_reward_base_units=9261786572018; full_weight_reward_base_units=9481395068520; expected_reward_weight=21804; expected_reward_base_units=9261786572018,424774654.74310309064509437875959344534328977390583,674940,22321
720.842589099,720842589099,gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,0,0.000000000,1697,1697,252,,720842589099,720.842589099,286697405472310,chain_effective_reward_base_units=720842589099; full_weight_reward_base_units=720842589099; expected_reward_weight=1697; expected_reward_base_units=720842589099,424774654.74310309064509437875959344534328977390583,674940,1697
190.299045324,190299045324,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,0,0.000000000,448,448,252,confirmation_weight_reduction,190299045324,190.299045324,286697405472310,chain_effective_reward_base_units=190299045324; full_weight_reward_base_units=197520214455; expected_reward_weight=448; expected_reward_base_units=190299045324,424774654.74310309064509437875959344534328977390583,674940,465
1214.855512565,1214855512565,gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,0,0.000000000,2860,2860,252,confirmation_weight_reduction,1214855512565,1214.855512565,286697405472310,chain_effective_reward_base_units=1214855512565; full_weight_reward_base_units=2096687695811; expected_reward_weight=2860; expected_reward_base_units=1214855512565,424774654.74310309064509437875959344534328977390583,674940,4936
45971.661784227,45971661784227,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,0,0.000000000,108226,108226,252,,45971661784227,45971.661784227,286697405472310,chain_effective_reward_base_units=45971661784227; full_weight_reward_base_units=45971661784227; expected_reward_weight=108226; expected_reward_base_units=45971661784227,424774654.74310309064509437875959344534328977390583,674940,108226
8691.738985353,8691738985353,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,980379903147,980.379903147,22770,22770,252,,9672118888500,9672.118888500,286697405472310,chain_effective_reward_base_units=9672118888500; full_weight_reward_base_units=9672118888500; expected_reward_weight=22770; expected_reward_base_units=9672118888500,424774654.74310309064509437875959344534328977390583,674940,22770
496.136796739,496136796739,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,0,0.000000000,1168,1168,252,,496136796739,496.136796739,286697405472310,chain_effective_reward_base_units=496136796739; full_weight_reward_base_units=496136796739; expected_reward_weight=1168; expected_reward_base_units=496136796739,424774654.74310309064509437875959344534328977390583,674940,1168
4656.379765293,4656379765293,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,83680606985,83.680606985,11159,11159,252,,4740060372278,4740.060372278,286697405472310,chain_effective_reward_base_units=4740060372278; full_weight_reward_base_units=4740060372278; expected_reward_weight=11159; expected_reward_base_units=4740060372278,424774654.74310309064509437875959344534328977390583,674940,11159
700.453405671,700453405671,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,0,0.000000000,1649,1649,252,,700453405671,700.453405671,286697405472310,chain_effective_reward_base_units=700453405671; full_weight_reward_base_units=700453405671; expected_reward_weight=1649; expected_reward_base_units=700453405671,424774654.74310309064509437875959344534328977390583,674940,1649
700.878180326,700878180326,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,2548647928,2.548647928,1656,1656,252,,703426828254,703.426828254,286697405472310,chain_effective_reward_base_units=703426828254; full_weight_reward_base_units=703426828254; expected_reward_weight=1656; expected_reward_base_units=703426828254,424774654.74310309064509437875959344534328977390583,674940,1656
649.480447102,649480447102,gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,2548647928,2.548647928,1535,1535,252,,652029095030,652.029095030,286697405472310,chain_effective_reward_base_units=652029095030; full_weight_reward_base_units=652029095030; expected_reward_weight=1535; expected_reward_base_units=652029095030,424774654.74310309064509437875959344534328977390583,674940,1535
3375.259406588,3375259406588,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,0,0.000000000,7946,7946,252,,3375259406588,3375.259406588,286697405472310,chain_effective_reward_base_units=3375259406588; full_weight_reward_base_units=3375259406588; expected_reward_weight=7946; expected_reward_base_units=3375259406588,424774654.74310309064509437875959344534328977390583,674940,7946
322.828737604,322828737604,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,0,0.000000000,760,760,252,,322828737604,322.828737604,286697405472310,chain_effective_reward_base_units=322828737604; full_weight_reward_base_units=322828737604; expected_reward_weight=760; expected_reward_base_units=322828737604,424774654.74310309064509437875959344534328977390583,674940,760
875.885338080,875885338080,gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,0,0.000000000,2062,2062,252,,875885338080,875.885338080,286697405472310,chain_effective_reward_base_units=875885338080; full_weight_reward_base_units=875885338080; expected_reward_weight=2062; expected_reward_base_units=875885338080,424774654.74310309064509437875959344534328977390583,674940,2062
1524.091461218,1524091461218,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,0,0.000000000,3588,3588,252,,1524091461218,1524.091461218,286697405472310,chain_effective_reward_base_units=1524091461218; full_weight_reward_base_units=1524091461218; expected_reward_weight=3588; expected_reward_base_units=1524091461218,424774654.74310309064509437875959344534328977390583,674940,3588
0.000000000,0,gonka1d7ghexkrnm00fh695zcd00xgfgwxe2vvamcsdt,470225542800,470.225542800,0,0,252,failed_confirmation_poc,470225542800,470.225542800,286697405472310,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=470225542800; expected_reward_weight=1107; expected_reward_base_units=470225542800,424774654.74310309064509437875959344534328977390583,674940,1107
260.811638012,260811638012,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,0,0.000000000,614,614,252,confirmation_weight_reduction,260811638012,260.811638012,286697405472310,chain_effective_reward_base_units=260811638012; full_weight_reward_base_units=263360285940; expected_reward_weight=614; expected_reward_base_units=260811638012,424774654.74310309064509437875959344534328977390583,674940,620
0.000000000,0,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,404810245970,404.810245970,0,0,252,failed_confirmation_poc,404810245970,404.810245970,286697405472310,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=404810245970; expected_reward_weight=953; expected_reward_base_units=404810245970,424774654.74310309064509437875959344534328977390583,674940,953
50859.118961701,50859118961701,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,0,0.000000000,119732,119732,252,,50859118961701,50859.118961701,286697405472310,chain_effective_reward_base_units=50859118961701; full_weight_reward_base_units=50859118961701; expected_reward_weight=119732; expected_reward_base_units=50859118961701,424774654.74310309064509437875959344534328977390583,674940,119732
724.240786336,724240786336,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,0,0.000000000,1705,1705,252,,724240786336,724.240786336,286697405472310,chain_effective_reward_base_units=724240786336; full_weight_reward_base_units=724240786336; expected_reward_weight=1705; expected_reward_base_units=724240786336,424774654.74310309064509437875959344534328977390583,674940,1705
